,a,TSNE_1,TSNE_2,X     
5627,X23.86,-3.301497402,5.32679649,Stromal cell_Tnmd high(Neonatal-Rib)   
5628,X25.86,-3.067734021,5.238074131,Stromal cell_Tnmd high(Neonatal-Rib)   
5629,X27.86,-3.119472998,5.259715384,Stromal cell_Tnmd high(Neonatal-Rib)   
5630,X44.86,-2.812475267,5.188350246,Stromal cell_Tnmd high(Neonatal-Rib)   
5631,X31.86,-3.267754357,5.303778881,Stromal cell_Tnmd high(Neonatal-Rib)   
5632,X32.86,-2.871880427,5.244796641,Stromal cell_Tnmd high(Neonatal-Rib)   
5633,X34.86,-2.735872638,5.083852473,Stromal cell_Tnmd high(Neonatal-Rib)   
5634,X35.86,-4.32521572,5.236701809,Stromal cell_Tnmd high(Neonatal-Rib)   
5635,X7.95,-4.221807599,5.381101499,Stromal cell_Fmod high(Neonatal-Heart)   
5636,X36.86,-0.360018251,-13.05880999,Stromal cell_Tnmd high(Neonatal-Rib)   
5637,X41.86,-2.990267293,5.240842582,Stromal cell_Tnmd high(Neonatal-Rib)   
5638,X45.86,-3.407198336,5.331429375,Stromal cell_Tnmd high(Neonatal-Rib)   
5639,X46.86,-2.961885925,5.215735673,Stromal cell_Tnmd high(Neonatal-Rib)   
5640,X47.86,-3.347615363,5.165789893,Stromal cell_Tnmd high(Neonatal-Rib)   
5641,X49.86,-3.330773152,5.213820499,Stromal cell_Tnmd high(Neonatal-Rib)   
5642,X14.87,-4.656050235,5.487518782,Epithelial cell(Neonatal-Muscle)    
5643,X37.87,-4.6121887,5.415034973,Epithelial cell(Neonatal-Muscle)    
5644,X1.87,-4.115705203,5.299652609,Epithelial cell(Neonatal-Muscle)    
5645,X3.87,-4.475378308,4.980061382,Epithelial cell(Neonatal-Muscle)    
5646,X12.87,-4.445889877,5.497969364,Epithelial cell(Neonatal-Muscle)    
5647,X6.87,-4.533280123,5.21876033,Epithelial cell(Neonatal-Muscle)    
5648,X48.87,-4.29999063,5.429665778,Epithelial cell(Neonatal-Muscle)    
5649,X27.89,-3.919522287,5.082233492,Stromal cell_Ndn high(Neonatal-Muscle)   
5650,X10.87,-4.029550689,5.42968223,Epithelial cell(Neonatal-Muscle)    
5651,X13.87,-4.537876388,5.317166213,Epithelial cell(Neonatal-Muscle)    
5652,X39.87,-4.712801203,5.490783337,Epithelial cell(Neonatal-Muscle)    
5653,X15.87,-4.547867788,5.56347348,Epithelial cell(Neonatal-Muscle)    
5654,X19.87,-4.486035533,5.334480493,Epithelial cell(Neonatal-Muscle)    
5655,X20.87,-4.676393313,5.497732297,Epithelial cell(Neonatal-Muscle)    
5656,X21.87,-4.286953459,5.153747858,Epithelial cell(Neonatal-Muscle)    
5657,X38.87,-4.320979605,5.265340635,Epithelial cell(Neonatal-Muscle)    
5658,X22.87,-4.575398587,5.317968941,Epithelial cell(Neonatal-Muscle)    
5659,X23.87,-3.667086371,5.331571051,Epithelial cell(Neonatal-Muscle)    
5660,X24.87,-3.918614259,5.225007733,Epithelial cell(Neonatal-Muscle)    
5661,X27.88,-3.908762521,5.057426335,Mesenchymal cell(Neonatal-Muscle)    
5662,X27.87,-5.040624122,5.137737029,Epithelial cell(Neonatal-Muscle)    
5663,X28.87,-4.036836853,5.275635165,Epithelial cell(Neonatal-Muscle)    
5664,X30.87,-4.286142266,5.265178167,Epithelial cell(Neonatal-Muscle)    
5665,X40.88,-4.216551411,5.284710256,Mesenchymal cell(Neonatal-Muscle)    
5666,X31.87,-4.482087697,5.474117671,Epithelial cell(Neonatal-Muscle)    
5667,X32.87,-4.232004137,5.173858295,Epithelial cell(Neonatal-Muscle)    
5668,X33.87,-4.480618602,5.596913593,Epithelial cell(Neonatal-Muscle)    
5669,X43.87,-4.433297787,5.628456745,Epithelial cell(Neonatal-Muscle)    
5670,X35.87,-4.315656489,5.342349628,Epithelial cell(Neonatal-Muscle)    
5671,X47.95,-4.378935901,5.39592068,Stromal cell_Fmod high(Neonatal-Heart)   
5672,X42.87,-4.552517082,5.305022753,Epithelial cell(Neonatal-Muscle)    
5673,X21.92,-4.415568703,5.84779359,Stromal cell_Col3a1 high(Neonatal-Heart)   
5674,X44.87,-4.268517267,5.414059329,Epithelial cell(Neonatal-Muscle)    
5675,X45.87,-4.082012962,5.161282568,Epithelial cell(Neonatal-Muscle)    
5676,X47.87,-4.413526389,5.446620117,Epithelial cell(Neonatal-Muscle)    
5677,X0.89,6.026174686,-3.698350992,Mesenchymal cell(Neonatal-Muscle)    
5678,X44.88,5.97227134,-3.808844952,Mesenchymal cell(Neonatal-Muscle)    
5679,X13.184,5.847201617,-3.602980148,Stromal cell_Cxcl12 high(Embryonic-Mesenchyme)   
5680,X1.88,6.129541257,-3.896658345,Mesenchymal cell(Neonatal-Muscle)    
5681,X11.88,6.079552972,-4.114495198,Mesenchymal cell(Neonatal-Muscle)    
5682,X34.88,6.044670736,-3.96192471,Mesenchymal cell(Neonatal-Muscle)    
5683,X19.156,6.065096033,-4.191657678,Stromal cell_Ptn high(Fetal_Lung)   
5684,X25.157,5.632355391,-4.559306537,Stromal cell_Ankfy1 high(Fetal_Lung)   
5685,X4.164,5.926227718,-4.082247854,Enterocyte progenitor_late_Ube2c high(Fetal_Intestine)   
5686,X35.167,5.900147353,-4.54407291,Enteric muscle cell(Fetal_Intestine)   
5687,X28.88,5.742311315,-4.521771452,Mesenchymal cell(Neonatal-Muscle)    
5688,X4.88,5.944099366,-4.341319923,Mesenchymal cell(Neonatal-Muscle)    
5689,X49.88,5.762137075,-4.503495583,Mesenchymal cell(Neonatal-Muscle)    
5690,X31.164,5.815409379,-4.257344766,Enterocyte progenitor_late_Ube2c high(Fetal_Intestine)   
5691,X7.166,5.678031654,-4.533134138,Stromal cell_Adamdec1 high(Fetal_Intestine)   
5692,X24.171,5.7637573,-4.413618744,Stromal cell_Stmn2 high (Fetal_Intestine)  
5693,X5.88,5.750195229,-4.505888516,Mesenchymal cell(Neonatal-Muscle)    
5694,X34.97,5.641273711,-4.488114469,Dividng cell(Neonatal-Calvaria)    
5695,X6.88,5.962443799,-4.034242298,Mesenchymal cell(Neonatal-Muscle)    
5696,X21.150,5.855316246,-4.065560487,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5697,X13.171,6.020091625,-4.001981968,Stromal cell_Stmn2 high (Fetal_Intestine)  
5698,X43.184,5.750273746,-3.957578904,Stromal cell_Cxcl12 high(Embryonic-Mesenchyme)   
5699,X1.150,5.17663012,-4.339015719,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5700,X7.88,5.014767086,-4.468505341,Mesenchymal cell(Neonatal-Muscle)    
5701,X35.150,5.460292055,-4.235302218,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5702,X30.184,4.806088278,-4.744354346,Stromal cell_Cxcl12 high(Embryonic-Mesenchyme)   
5703,X10.185,4.837598819,-4.554665634,Muscle(Embryonic-Mesenchyme)     
5704,X35.185,4.887920314,-4.472808957,Muscle(Embryonic-Mesenchyme)     
5705,X8.88,5.806640665,-4.638232801,Mesenchymal cell(Neonatal-Muscle)    
5706,X37.88,5.760198585,-4.482238889,Mesenchymal cell(Neonatal-Muscle)    
5707,X9.88,6.070451927,-3.719046756,Mesenchymal cell(Neonatal-Muscle)    
5708,X26.88,5.90344689,-3.789599595,Mesenchymal cell(Neonatal-Muscle)    
5709,X15.170,6.323003146,-4.616699296,Enterocyte progenitor(Fetal_Intestine)    
5710,X18.88,5.55026839,-4.063501011,Mesenchymal cell(Neonatal-Muscle)    
5711,X12.88,5.842068471,-4.133081866,Mesenchymal cell(Neonatal-Muscle)    
5712,X0.151,6.155056149,-3.895400001,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5713,X32.151,5.628668797,-4.064068991,Stromal cell_Dcn high(Fetal_Stomache)   
5714,X46.88,6.066238754,-3.920883201,Mesenchymal cell(Neonatal-Muscle)    
5715,X5.150,5.958969818,-3.71256956,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5716,X14.88,6.031355911,-4.055390789,Mesenchymal cell(Neonatal-Muscle)    
5717,X42.150,5.934745891,-4.162764007,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5718,X15.88,-4.636903185,5.183443398,Mesenchymal cell(Neonatal-Muscle)    
5719,X17.88,5.973773639,-3.862634707,Mesenchymal cell(Neonatal-Muscle)    
5720,X14.151,5.861191836,-3.793943643,Stromal cell_Dcn high(Fetal_Stomache)   
5721,X41.151,5.729952988,-3.800886324,Stromal cell_Dcn high(Fetal_Stomache)   
5722,X14.150,5.571337827,-3.938476325,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5723,X40.150,5.328415668,-4.187495851,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5724,X1.164,5.656717245,-3.831770789,Enterocyte progenitor_late_Ube2c high(Fetal_Intestine)   
5725,X37.164,5.589352732,-4.087600546,Enterocyte progenitor_late_Ube2c high(Fetal_Intestine)   
5726,X5.166,5.338860641,-4.115136544,Stromal cell_Adamdec1 high(Fetal_Intestine)   
5727,X6.156,5.791597425,-3.789378041,Stromal cell_Ptn high(Fetal_Lung)   
5728,X19.88,5.759915846,-3.886619945,Mesenchymal cell(Neonatal-Muscle)    
5729,X16.156,5.713861371,-4.089742046,Stromal cell_Ptn high(Fetal_Lung)   
5730,X22.166,5.625692635,-3.794730752,Stromal cell_Adamdec1 high(Fetal_Intestine)   
5731,X37.170,5.672213392,-3.869359458,Enterocyte progenitor(Fetal_Intestine)    
5732,X15.184,5.734050469,-3.690513355,Stromal cell_Cxcl12 high(Embryonic-Mesenchyme)   
5733,X20.88,6.093364772,-3.815302007,Mesenchymal cell(Neonatal-Muscle)    
5734,X35.88,5.959900311,-3.782496052,Mesenchymal cell(Neonatal-Muscle)    
5735,X26.159,4.962701123,-4.64105202,Smooth muscle cell(Fetal_Lung)   
5736,X15.185,4.839899481,-4.610847048,Muscle(Embryonic-Mesenchyme)     
5737,X39.185,5.022444437,-4.51162955,Muscle(Embryonic-Mesenchyme)     
5738,X24.88,-2.998274935,4.809256508,Mesenchymal cell(Neonatal-Muscle)    
5739,X32.88,-3.657317492,4.736865168,Mesenchymal cell(Neonatal-Muscle)    
5740,X4.90,-2.968079139,5.049218443,Muscle cell_Myl9 high(Neonatal-Muscle)   
5741,X12.159,6.407019777,-4.744262759,Smooth muscle cell(Fetal_Lung)   
5742,X43.151,5.515386536,-3.963281497,Stromal cell_Dcn high(Fetal_Stomache)   
5743,X43.170,5.743066695,-4.561659476,Enterocyte progenitor(Fetal_Intestine)    
5744,X32.150,5.562198807,-4.401690017,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5745,X29.88,5.484711072,-4.62443129,Mesenchymal cell(Neonatal-Muscle)    
5746,X14.164,5.187192666,-4.563785945,Enterocyte progenitor_late_Ube2c high(Fetal_Intestine)   
5747,X36.164,5.132950872,-4.672934246,Enterocyte progenitor_late_Ube2c high(Fetal_Intestine)   
5748,X19.171,5.531836863,-4.613359556,Stromal cell_Stmn2 high (Fetal_Intestine)  
5749,X30.88,5.950753022,-3.520697735,Mesenchymal cell(Neonatal-Muscle)    
5750,X5.171,5.810209879,-3.32601869,Stromal cell_Stmn2 high (Fetal_Intestine)  
5751,X17.184,5.874641829,-3.303002814,Stromal cell_Cxcl12 high(Embryonic-Mesenchyme)   
5752,X31.88,5.838924798,-3.269892032,Mesenchymal cell(Neonatal-Muscle)    
5753,X1.184,5.843126514,-3.339194644,Stromal cell_Cxcl12 high(Embryonic-Mesenchyme)   
5754,X33.88,6.023778602,-3.817164275,Mesenchymal cell(Neonatal-Muscle)    
5755,X17.150,5.647542183,-4.234153994,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5756,X18.150,5.796092438,-3.364274297,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5757,X36.88,5.461656823,-4.585017362,Mesenchymal cell(Neonatal-Muscle)    
5758,X34.159,5.418986341,-4.468503414,Smooth muscle cell(Fetal_Lung)   
5759,X11.185,5.293599689,-4.583798868,Muscle(Embryonic-Mesenchyme)     
5760,X42.170,5.826847106,-4.329076058,Enterocyte progenitor(Fetal_Intestine)    
5761,X38.88,5.903784297,-3.978670517,Mesenchymal cell(Neonatal-Muscle)    
5762,X47.150,5.711241952,-3.821726268,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5763,X23.91,-4.564110674,2.962466576,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5764,X11.95,-4.166390441,6.414263252,Stromal cell_Fmod high(Neonatal-Heart)   
5765,X45.95,-4.142199909,6.442544106,Stromal cell_Fmod high(Neonatal-Heart)   
5766,X41.88,5.52470376,-4.447071401,Mesenchymal cell(Neonatal-Muscle)    
5767,X24.156,5.248564103,-4.604935344,Stromal cell_Ptn high(Fetal_Lung)   
5768,X1.171,5.785545658,-3.560856305,Stromal cell_Stmn2 high (Fetal_Intestine)  
5769,X45.151,5.697113578,-3.844943369,Stromal cell_Dcn high(Fetal_Stomache)   
5770,X36.150,5.990033289,-3.857467183,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5771,X47.88,-4.131547681,4.960707663,Mesenchymal cell(Neonatal-Muscle)    
5772,X48.88,5.815182295,-4.549745777,Mesenchymal cell(Neonatal-Muscle)    
5773,X25.159,5.65765098,-4.68742288,Smooth muscle cell(Fetal_Lung)   
5774,X1.89,-4.514743903,5.305346732,Stromal cell_Ndn high(Neonatal-Muscle)   
5775,X3.89,-3.84832224,4.939708952,Stromal cell_Ndn high(Neonatal-Muscle)   
5776,X28.150,-3.793801204,4.878031113,Stromal cell_Cdkn1c high(Fetal_Stomache)   
5777,X34.89,-4.048892543,5.242718815,Stromal cell_Ndn high(Neonatal-Muscle)   
5778,X5.89,-4.453407021,5.069254707,Stromal cell_Ndn high(Neonatal-Muscle)   
5779,X7.89,-4.211093882,5.212992812,Stromal cell_Ndn high(Neonatal-Muscle)   
5780,X8.89,-3.99906815,5.009384212,Stromal cell_Ndn high(Neonatal-Muscle)   
5781,X10.89,-3.866058951,5.026802101,Stromal cell_Ndn high(Neonatal-Muscle)   
5782,X12.89,-4.017896734,5.126134229,Stromal cell_Ndn high(Neonatal-Muscle)   
5783,X15.89,-4.125748309,5.045452208,Stromal cell_Ndn high(Neonatal-Muscle)   
5784,X17.89,-4.480214842,5.085343284,Stromal cell_Ndn high(Neonatal-Muscle)   
5785,X19.89,-4.274356579,5.1326214,Stromal cell_Ndn high(Neonatal-Muscle)   
5786,X20.89,-4.221467916,5.139990355,Stromal cell_Ndn high(Neonatal-Muscle)   
5787,X21.89,-4.250358976,4.663118323,Stromal cell_Ndn high(Neonatal-Muscle)   
5788,X23.89,5.742099142,-3.563242412,Stromal cell_Ndn high(Neonatal-Muscle)   
5789,X18.151,5.760585263,-3.671793885,Stromal cell_Dcn high(Fetal_Stomache)   
5790,X20.183,5.741254297,-3.502455457,Stromal Cell_Cxcl14 high(Embryonic-Mesenchyme)   
5791,X26.89,-4.460371235,5.04460522,Stromal cell_Ndn high(Neonatal-Muscle)   
5792,X28.89,-4.098662569,5.252440574,Stromal cell_Ndn high(Neonatal-Muscle)   
5793,X32.89,-4.542617229,5.216219138,Stromal cell_Ndn high(Neonatal-Muscle)   
5794,X35.89,-3.852396715,4.853375523,Stromal cell_Ndn high(Neonatal-Muscle)   
5795,X36.89,-3.916703601,4.93427632,Stromal cell_Ndn high(Neonatal-Muscle)   
5796,X38.89,-4.287306058,5.211693904,Stromal cell_Ndn high(Neonatal-Muscle)   
5797,X40.89,-4.540725638,5.230814031,Stromal cell_Ndn high(Neonatal-Muscle)   
5798,X42.89,-4.495601755,5.257843839,Stromal cell_Ndn high(Neonatal-Muscle)   
5799,X43.89,-4.244528997,5.210431662,Stromal cell_Ndn high(Neonatal-Muscle)   
5800,X44.89,-4.642095528,5.555326624,Stromal cell_Ndn high(Neonatal-Muscle)   
5801,X45.89,-4.455775626,5.127982375,Stromal cell_Ndn high(Neonatal-Muscle)   
5802,X46.89,-3.757642015,4.908523682,Stromal cell_Ndn high(Neonatal-Muscle)   
5803,X48.89,-4.605554427,5.03410898,Stromal cell_Ndn high(Neonatal-Muscle)   
5804,X13.95,-4.386720639,5.613743824,Stromal cell_Fmod high(Neonatal-Heart)   
5805,X49.89,-4.558856709,5.416286701,Stromal cell_Ndn high(Neonatal-Muscle)   
5806,X7.159,6.967315454,-5.169608921,Smooth muscle cell(Fetal_Lung)   
5807,X10.167,7.24416532,-5.401223031,Enteric muscle cell(Fetal_Intestine)   
5808,X43.167,7.22532583,-5.383645264,Enteric muscle cell(Fetal_Intestine)   
5809,X5.90,-5.564266008,7.058439382,Muscle cell_Myl9 high(Neonatal-Muscle)   
5810,X1.90,-5.546033842,7.063127757,Muscle cell_Myl9 high(Neonatal-Muscle)   
5811,X23.90,-5.529842756,7.128394317,Muscle cell_Myl9 high(Neonatal-Muscle)   
5812,X32.90,-5.647206158,7.275131275,Muscle cell_Myl9 high(Neonatal-Muscle)   
5813,X7.90,-5.491035231,6.961877741,Muscle cell_Myl9 high(Neonatal-Muscle)   
5814,X3.90,-5.426987439,6.857071864,Muscle cell_Myl9 high(Neonatal-Muscle)   
5815,X35.90,-5.472089679,6.881707663,Muscle cell_Myl9 high(Neonatal-Muscle)   
5816,X1.167,7.279356174,-5.436330345,Enteric muscle cell(Fetal_Intestine)   
5817,X9.90,-5.617632314,7.212942224,Muscle cell_Myl9 high(Neonatal-Muscle)   
5818,X31.90,-5.516718587,6.987036684,Muscle cell_Myl9 high(Neonatal-Muscle)   
5819,X42.200,-5.651537369,7.363185294,Smooth muscle cell(Bladder)   
5820,X6.90,-5.578372893,7.097574965,Muscle cell_Myl9 high(Neonatal-Muscle)   
5821,X19.90,-5.644992762,7.279010567,Muscle cell_Myl9 high(Neonatal-Muscle)   
5822,X31.200,-5.685335634,7.31734884,Smooth muscle cell(Bladder)   
5823,X36.90,-5.495782298,6.948403299,Muscle cell_Myl9 high(Neonatal-Muscle)   
5824,X8.90,-5.585475497,7.116330269,Muscle cell_Myl9 high(Neonatal-Muscle)   
5825,X28.90,-5.590789482,7.086647852,Muscle cell_Myl9 high(Neonatal-Muscle)   
5826,X9.200,-5.711992563,7.427106299,Smooth muscle cell(Bladder)   
5827,X19.200,-5.681976933,7.409409307,Smooth muscle cell(Bladder)   
5828,X26.90,-5.265498623,6.671245631,Muscle cell_Myl9 high(Neonatal-Muscle)   
5829,X30.90,-5.347533127,6.69311085,Muscle cell_Myl9 high(Neonatal-Muscle)   
5830,X15.90,-5.617206132,7.18192815,Muscle cell_Myl9 high(Neonatal-Muscle)   
5831,X49.200,-5.723987649,7.298329222,Smooth muscle cell(Bladder)   
5832,X13.90,-5.392226408,6.42123443,Muscle cell_Myl9 high(Neonatal-Muscle)   
5833,X38.90,-5.513967056,6.995753918,Muscle cell_Myl9 high(Neonatal-Muscle)   
5834,X16.90,-5.271682055,6.684647165,Muscle cell_Myl9 high(Neonatal-Muscle)   
5835,X37.90,-5.252168219,6.592394892,Muscle cell_Myl9 high(Neonatal-Muscle)   
5836,X17.90,-5.529209523,6.933836159,Muscle cell_Myl9 high(Neonatal-Muscle)   
5837,X43.90,-5.126734893,6.495904542,Muscle cell_Myl9 high(Neonatal-Muscle)   
5838,X20.90,-5.411124788,6.819465913,Muscle cell_Myl9 high(Neonatal-Muscle)   
5839,X21.90,-5.377474262,6.649948956,Muscle cell_Myl9 high(Neonatal-Muscle)   
5840,X29.90,5.454355747,2.707995123,Muscle cell_Myl9 high(Neonatal-Muscle)   
5841,X34.90,5.410988068,2.708906302,Muscle cell_Myl9 high(Neonatal-Muscle)   
5842,X41.90,-5.495757612,6.983218072,Muscle cell_Myl9 high(Neonatal-Muscle)   
5843,X33.200,-5.713883615,7.440946807,Smooth muscle cell(Bladder)   
5844,X39.90,-5.327000897,6.75046854,Muscle cell_Myl9 high(Neonatal-Muscle)   
5845,X26.95,-4.447686666,6.031685606,Stromal cell_Fmod high(Neonatal-Heart)   
5846,X47.90,-5.48543236,6.943630947,Muscle cell_Myl9 high(Neonatal-Muscle)   
5847,X48.90,-5.533999726,7.113062678,Muscle cell_Myl9 high(Neonatal-Muscle)   
5848,X2.91,-5.169578609,3.115614218,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5849,X0.92,-5.038166992,3.209815949,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5850,X15.91,-4.878057661,3.127426247,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5851,X47.91,-5.000092463,3.167725658,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5852,X1.91,-5.138811916,3.07767585,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5853,X7.91,-5.124982413,3.07413683,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5854,X9.91,-5.152168071,3.027477616,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5855,X32.91,-5.104103212,3.08865895,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5856,X34.91,-5.077157415,2.909964118,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5857,X31.91,-5.151605495,3.075770754,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5858,X16.91,-4.529485149,2.998590124,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5859,X3.91,-4.585161659,3.003266508,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5860,X21.91,-4.587248798,2.953765082,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5861,X22.91,-4.587839634,2.947750025,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5862,X27.91,-4.55599389,2.980828674,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5863,X41.91,-4.635557837,2.928993077,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5864,X13.91,-5.339881313,3.330694238,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5865,X33.91,-5.315763791,3.26021865,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5866,X5.91,-5.12746677,3.064630872,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5867,X18.91,-4.946629195,2.909336945,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5868,X35.91,-5.176881177,3.039230559,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5869,X6.91,-4.882841043,3.107519295,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5870,X25.91,-4.950105704,3.064129386,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5871,X38.91,-4.887527534,3.07459865,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5872,X39.91,-4.932245613,3.000837791,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5873,X26.91,-5.206362647,2.988046159,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5874,X42.91,-4.967456226,2.932188435,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5875,X49.91,-4.995729215,2.876322498,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5876,X11.91,-4.874599175,2.997663988,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5877,X20.91,-4.924538294,3.066342566,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5878,X14.91,-5.157521228,3.105133866,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5879,X20.93,-4.499561249,2.992677476,Left ventricle cardiomyocyte_Myl2 high(Neonatal-Heart)  
5880,X46.93,-4.502244369,2.99016603,Left ventricle cardiomyocyte_Myl2 high(Neonatal-Heart)  
5881,X10.94,-4.517491933,2.988969324,Vascular endothelial cell(Neonatal-Heart)   
5882,X17.91,-5.288742113,3.067522752,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5883,X13.94,-4.984737897,2.772619715,Vascular endothelial cell(Neonatal-Heart)   
5884,X42.94,-5.029806651,2.775324953,Vascular endothelial cell(Neonatal-Heart)   
5885,X45.94,-5.029487797,2.736729062,Vascular endothelial cell(Neonatal-Heart)   
5886,X19.91,-4.794666244,2.836555418,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5887,X14.94,-4.89605418,2.734206993,Vascular endothelial cell(Neonatal-Heart)   
5888,X25.94,-4.64715663,2.885172947,Vascular endothelial cell(Neonatal-Heart)   
5889,X46.91,-4.558815017,2.960600652,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5890,X44.91,-4.660107397,3.025529361,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5891,X24.91,-4.848456446,3.113560604,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5892,X3.94,-5.113870063,2.70147222,Vascular endothelial cell(Neonatal-Heart)   
5893,X37.94,-5.186602512,2.669639177,Vascular endothelial cell(Neonatal-Heart)   
5894,X29.91,-4.994851906,3.193545919,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5895,X16.94,-4.990901857,2.725195936,Vascular endothelial cell(Neonatal-Heart)   
5896,X30.91,-4.935137217,2.649681431,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5897,X22.94,-4.922561346,2.65843145,Vascular endothelial cell(Neonatal-Heart)   
5898,X31.94,-4.960925743,2.666817771,Vascular endothelial cell(Neonatal-Heart)   
5899,X32.94,-5.022412494,2.659600679,Vascular endothelial cell(Neonatal-Heart)   
5900,X38.94,-4.897623342,2.641509111,Vascular endothelial cell(Neonatal-Heart)   
5901,X48.91,-5.130000719,3.055057822,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5902,X18.94,-4.995676969,2.85724274,Vascular endothelial cell(Neonatal-Heart)   
5903,X17.94,-5.103895019,2.600551133,Vascular endothelial cell(Neonatal-Heart)   
5904,X36.91,-5.036892051,2.636635002,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5905,X21.94,-5.135821362,2.580547642,Vascular endothelial cell(Neonatal-Heart)   
5906,X40.91,-5.24411273,2.859534064,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5907,X4.94,-5.095026455,2.820010291,Vascular endothelial cell(Neonatal-Heart)   
5908,X26.94,-5.347746167,2.685921103,Vascular endothelial cell(Neonatal-Heart)   
5909,X43.91,-5.113425195,3.095109365,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5910,X45.91,-5.050654653,2.876220843,Endothelial cell_Igfbp5 high(Neonatal-Heart)   
5911,X0.93,-4.36425834,6.232765112,Stromal cell_Col3a1 high(Neonatal-Heart)   
5912,X12.92,-4.288969636,6.281379878,Stromal cell_Col3a1 high(Neonatal-Heart)   
5913,X32.92,-4.28885462,6.291312647,Stromal cell_Col3a1 high(Neonatal-Heart)   
5914,X19.92,-3.755928126,7.220707629,Stromal cell_Col3a1 high(Neonatal-Heart)   
5915,X1.92,-3.662264814,7.363722544,Stromal cell_Col3a1 high(Neonatal-Heart)   
5916,X44.92,-3.507119327,7.600846433,Stromal cell_Col3a1 high(Neonatal-Heart)   
5917,X12.95,-3.548386553,7.538973777,Stromal cell_Fmod high(Neonatal-Heart)   
5918,X33.95,-3.53945495,7.553369418,Stromal cell_Fmod high(Neonatal-Heart)   
5919,X34.95,-3.734724668,7.255853485,Stromal cell_Fmod high(Neonatal-Heart)   
5920,X2.92,-4.569783475,5.44109441,Stromal cell_Col3a1 high(Neonatal-Heart)   
5921,X3.92,-4.218116043,6.39815721,Stromal cell_Col3a1 high(Neonatal-Heart)   
5922,X10.92,-4.141773057,6.560780696,Stromal cell_Col3a1 high(Neonatal-Heart)   
5923,X4.93,-4.09918478,6.633094455,Left ventricle cardiomyocyte_Myl2 high(Neonatal-Heart)  
5924,X14.95,-4.161568087,6.508046017,Stromal cell_Fmod high(Neonatal-Heart)   
5925,X10.95,-3.952184493,6.914143154,Stromal cell_Fmod high(Neonatal-Heart)   
5926,X5.92,-3.933867838,6.956475849,Stromal cell_Col3a1 high(Neonatal-Heart)   
